Fecha,Código de Producto,Producto,Categoría,Cantidad de unidades,Precio unitario,Monto total
07/04/24,5001,Bicicleta de montaña,Deportes y actividades al aire libre,25,1000,25000
10/04/24,3002,Aspiradora robot,Hogar y jardín,15,300,4500
12/04/24,1003,Auriculares inalámbricos,Electrónica y tecnología,10,200,2000
14/04/24,2005,Gafas de sol,Moda y accesorios,20,200,4000
17/04/24,1001,Teléfono inteligente,Electrónica y tecnología,30,800,24000
19/04/24,2004,Reloj de pulsera,Moda y accesorios,5,500,2500
22/04/24,4003,Perfume para mujer,Belleza y cuidado personal,8,80,640
25/04/24,1002,Computadora portátil,Electrónica y tecnología,12,1200,14400
28/04/24,3004,Lámpara de pie,Hogar y jardín,7,80,560
01/05/24,2003,Bolso de cuero,Moda y accesorios,3,250,750
03/05/24,4005,Cepillo de dientes eléctrico,Belleza y cuidado personal,6,70,420
06/05/24,5003,Kayak inflable,Deportes y actividades al aire libre,4,300,1200
09/05/24,3001,Sofá seccional,Hogar y jardín,2,1000,2000
12/05/24,1004,Smart TV,Electrónica y tecnología,9,1500,13500
15/05/24,2002,Zapatillas deportivas,Moda y accesorios,18,120,2160
18/05/24,5005,Tabla de surf,Deportes y actividades al aire libre,3,500,1500
02/04/24,2001,Vestido de noche,Moda y accesorios,4,150,600
04/04/24,1005,Consola de videojuegos,Electrónica y tecnología,18,500,9000
06/04/24,4002,Paleta de sombras de ojos,Belleza y cuidado personal,9,50,450
08/04/24,3003,Juego de cuchillos de cocina,Hogar y jardín,6,150,900
11/04/24,5002,Tienda de campaña,Deportes y actividades al aire libre,10,150,1500
13/04/24,4004,Secador de cabello profesional,Belleza y cuidado personal,12,100,1200
15/04/24,2002,Zapatillas deportivas,Moda y accesorios,15,120,1800
18/04/24,3005,Conjunto de muebles de jardín,Hogar y jardín,3,800,2400
20/04/24,5004,Raqueta de tenis,Deportes y actividades al aire libre,7,100,700
23/04/24,1003,Auriculares inalámbricos,Electrónica y tecnología,22,200,4400
26/04/24,2004,Reloj de pulsera,Moda y accesorios,8,500,4000
29/04/24,4001,Crema hidratante facial,Belleza y cuidado personal,14,40,560
02/05/24,1001,Teléfono inteligente,Electrónica y tecnología,28,800,22400
05/05/24,3004,Lámpara de pie,Hogar y jardín,5,80,400
08/05/24,5001,Bicicleta de montaña,Deportes y actividades al aire libre,35,1000,35000
11/05/24,4003,Perfume para mujer,Belleza y cuidado personal,10,80,800
14/05/24,1002,Computadora portátil,Electrónica y tecnología,16,1200,19200
17/05/24,2005,Gafas de sol,Moda y accesorios,25,200,5000
20/05/24,3002,Aspiradora robot,Hogar y jardín,20,300,6000
23/05/24,5003,Kayak inflable,Deportes y actividades al aire libre,6,300,1800
26/05/24,2001,Vestido de noche,Moda y accesorios,3,150,450
29/05/24,1005,Consola de videojuegos,Electrónica y tecnología,15,500,7500
01/06/24,4002,Paleta de sombras de ojos,Belleza y cuidado personal,8,50,400
04/06/24,3003,Juego de cuchillos de cocina,Hogar y jardín,7,150,1050
07/06/24,5002,Tienda de campaña,Deportes y actividades al aire libre,12,150,1800
10/06/24,4004,Secador de cabello profesional,Belleza y cuidado personal,10,100,1000
13/06/24,2002,Zapatillas deportivas,Moda y accesorios,20,120,2400
16/06/24,3005,Conjunto de muebles de jardín,Hogar y jardín,4,800,3200
19/06/24,5004,Raqueta de tenis,Deportes y actividades al aire libre,6,100,600
22/06/24,1003,Auriculares inalámbricos,Electrónica y tecnología,25,200,5000
25/06/24,2004,Reloj de pulsera,Moda y accesorios,6,500,3000
28/06/24,4001,Crema hidratante facial,Belleza y cuidado personal,12,40,480
02/07/24,1001,Teléfono inteligente,Electrónica y tecnología,30,800,24000
05/07/24,3004,Lámpara de pie,Hogar y jardín,5,80,400
08/07/24,5001,Bicicleta de montaña,Deportes y actividades al aire libre,28,1000,28000
11/07/24,4003,Perfume para mujer,Belleza y cuidado personal,8,80,640
14/07/24,1002,Computadora portátil,Electrónica y tecnología,20,1200,24000
17/07/24,2005,Gafas de sol,Moda y accesorios,30,200,6000
20/07/24,3002,Aspiradora robot,Hogar y jardín,18,300,5400
23/07/24,5003,Kayak inflable,Deportes y actividades al aire libre,4,300,1200
26/07/24,2003,Bolso de cuero,Moda y accesorios,5,250,1250
29/07/24,1005,Consola de videojuegos,Electrónica y tecnología,20,500,10000
01/08/24,4002,Paleta de sombras de ojos,Belleza y cuidado personal,10,50,500
04/08/24,3003,Juego de cuchillos de cocina,Hogar y jardín,8,150,1200
07/08/24,5002,Tienda de campaña,Deportes y actividades al aire libre,15,150,2250
10/08/24,4004,Secador de cabello profesional,Belleza y cuidado personal,15,100,1500
13/08/24,2002,Zapatillas deportivas,Moda y accesorios,25,120,3000
